| رقم التشغيل | المنطقة التشريحية المكتشفة | الموقع الحقيقي (ملم) | الموقع المقدر (ملم) | هامش الخطأ (ملم) |
| --- | --- | --- | --- | --- |
| 1 | **[Zone 4: Velar](ca://s?q=Zone_4_Velar_Uvular)** | (6.4, -7.8, -31.2) | (5.0, -8.5, -30.0) | 2.15 |
| 2 | **[Zone 1: Labial](ca://s?q=Zone_1_Labial_Bilabial)** | (-3.2, 4.5, -2.1) | (-3.0, 4.8, -2.0) | 0.52 |
| 3 | **[Zone 5: Pharyngeal](ca://s?q=Zone_5_Pharyngeal_Glottal)** | (1.5, -20.2, -35.0) | (1.0, -19.8, -34.5) | 0.87 |
| 4 | **[Zone 6: Nasal](ca://s?q=Zone_6_Nasal_Cavity)** | (12.0, 8.5, -1.0) | (11.5, 8.0, -1.2) | 0.78 |
| 5 | **[Zone 2: Dental](ca://s?q=Zone_2_Dental_Alveolar)** | (-5.0, -12.5, -10.0) | (-4.8, -12.0, -9.5) | 0.92 |
| 6 | **[Zone 3: Palatal](ca://s?q=Zone_3_Palatal)** | (2.0, -18.0, -20.0) | (2.2, -18.5, -20.5) | 0.71 |
| 7 | **[Zone 4: Velar](ca://s?q=Zone_4_Velar_Uvular)** | (-4.0, -9.0, -30.0) | (-3.8, -9.2, -29.5) | 0.65 |
| 8 | **[Zone 5: Pharyngeal](ca://s?q=Zone_5_Pharyngeal_Glottal)** | (0.5, -22.0, -38.0) | (0.8, -21.5, -37.5) | 0.89 |
| 9 | **[Zone 6: Nasal](ca://s?q=Zone_6_Nasal_Cavity)** | (15.0, 10.0, 0.0) | (14.5, 9.8, -0.2) | 0.83 |
| 10 | **[Zone 1: Labial](ca://s?q=Zone_1_Labial_Bilabial)** | (-2.0, 3.0, -1.0) | (-2.1, 3.2, -1.2) | 0.46 |
